SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, -0.01259923, -0.06072583, -0.99944645, 1.17396104, 1.58336103, -1.22263050, -9.47397232, 29.29927444, -34.07500458, 3.44091272, -0.74194115, -15.53944016, 0.99037832, -0.02887193, 0.01047107, 0.13493554, -0.00044281, 0.00079405, 0.00132911, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, -0.01542566, -0.06022987, -0.99801666, 1.56136608, 0.58451420, -0.05700679, -8.71721935, 29.24152946, -33.30224991, 3.45664072, -0.73766005, -15.54012203, 0.99037361, -0.02901286, 0.01045277, 0.13494113, 0.00253511, 0.00005045, -0.00008771, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, -0.01878574, -0.05758139, -1.00162303, 2.52332830, 0.18397431, 0.47684810, -9.00827789, 28.98166656, -33.65890503, 3.48074603, -0.73880166, -15.53512001, 0.99037331, -0.02922030, 0.01048974, 0.13489540, 0.00590010, -0.00295455, 0.00354014, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2500, 3, 0.00005956, -0.06756806, -1.01699829, 0.31487632, -0.64195317, 0.32622120, -8.42616081, 27.68236923, -34.58025360, 3.57044911, -0.70197904, -15.45741177, 0.99044204, -0.03004600, 0.01025675, 0.13422573, -0.01232686, 0.00532820, 0.01901238, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2600, 4, 0.00066116, -0.07039183, -1.01517177, 0.27025473, 0.23243862, -0.22702576, -9.09559631, 29.27040100, -34.19388199, 3.57612252, -0.69198090, -15.45966911, 0.99043810, -0.03010657, 0.01017757, 0.13424748, -0.01280349, 0.00805127, 0.01719065, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2700, 5, -0.00199573, -0.06713461, -1.01835024, -0.53037244, 0.44106022, -0.62344611, -8.62990189, 29.27040100, -34.01556015, 3.57170582, -0.68354106, -15.46530247, 0.99043274, -0.03007782, 0.01010093, 0.13429889, -0.00998766, 0.00479556, 0.02036721, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2800, 6, -0.00314792, -0.06633125, -1.01336205, -1.50497496, 0.43880180, -0.82716173, -9.12470150, 28.80842972, -34.52081299, 3.55747223, -0.67563885, -15.47262573, 0.99042803, -0.02996344, 0.01001787, 0.13436563, -0.00869591, 0.00417974, 0.01536558, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2900, 7, -0.00386236, -0.06417648, -1.00269067, -1.43979537, 0.87685013, -1.19253874, -9.24112415, 29.50139046, -34.49109268, 3.54367089, -0.66304928, -15.48386669, 0.99041861, -0.02985799, 0.00989581, 0.13446744, -0.00780368, 0.00228878, 0.00467573, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3000, 8, -0.00571783, -0.06258222, -0.99765831, -1.07040656, 1.31386578, -1.20803356, -9.00827789, 29.79012299, -33.92639923, 3.53326201, -0.64688301, -15.49518585, 0.99040824, -0.02978608, 0.00974682, 0.13457058, -0.00568060, 0.00089356, -0.00037208, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3100, 9, -0.01052773, -0.05990086, -0.99561119, -0.39897338, 1.83802319, -1.04875982, -9.00827789, 29.79012299, -33.92639923, 3.52884197, -0.62758124, -15.50439835, 0.99039882, -0.02976983, 0.00957720, 0.13465585, -0.00055701, -0.00166396, -0.00243038, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3200, 10, -0.01021884, -0.06088438, -0.99159813, -0.33834130, 1.43399441, -0.47260725, -7.87314892, 29.27040100, -34.52081299, 3.52531648, -0.61274827, -15.50628471, 0.99039763, -0.02975668, 0.00944536, 0.13467649, -0.00055428, -0.00063092, -0.00644992, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3300, 11, -0.01081503, -0.05837135, -0.99284834, -0.56074214, 0.28158024, -0.20229118, -9.27023029, 29.38589668, -34.25332642, 3.51719999, -0.60976875, -15.50338554, 0.99040323, -0.02969028, 0.00940931, 0.13465290, 0.00016416, -0.00303073, -0.00520798, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3400, 12, -0.00874092, -0.05565687, -0.99189079, -0.55938977, -0.29282820, -0.29699087, -9.44486523, 29.53026009, -34.25332642, 3.50697899, -0.61028093, -15.50438595, 0.99040467, -0.02960125, 0.00940199, 0.13466226, -0.00190789, -0.00556674, -0.00617649, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3500, 13, -0.00904301, -0.05912988, -0.99271739, -0.77054787, -0.50277430, -0.28012884, -8.92096043, 29.84786797, -34.40193176, 3.49809909, -0.61367613, -15.50726891, 0.99040353, -0.02952027, 0.00942164, 0.13468699, -0.00163716, -0.00195007, -0.00535841, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3600, 14, -0.00992451, -0.06004911, -0.99265909, -1.57982576, -0.92524856, -0.04962125, -8.92096043, 29.84786797, -34.40193176, 3.48203921, -0.62241620, -15.50794315, 0.99040681, -0.02937111, 0.00947847, 0.13469179, -0.00087735, -0.00079616, -0.00542969, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6600, 15, 0.00451383, -0.04836904, -1.00249982, 0.95415717, 1.94170320, -0.10704534, -8.71721935, 28.92392159, -33.68862534, 3.43630147, -0.49310935, -15.62433147, 0.99028200, -0.02911969, 0.00833673, 0.13573569, -0.01329025, -0.01153687, 0.00433439, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6700, 16, 0.00923927, -0.05220908, -1.00791299, 0.23079804, 1.50361514, -0.12400060, -9.35754871, 28.86617470, -34.10472107, 3.43432236, -0.46811545, -15.62525463, 0.99028134, -0.02913218, 0.00811864, 0.13575043, -0.01756473, -0.00772653, 0.00974554, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6800, 17, 0.01023901, -0.04735381, -1.01095068, -0.84554744, 0.76837993, -0.19443834, -9.32844257, 29.32814980, -33.98583221, 3.41988897, -0.45043597, -15.62809658, 0.99028164, -0.02902823, 0.00794948, 0.13578063, -0.01820343, -0.01240073, 0.01276924, 0.00000000, 0.00000000, 0.00000000, 0.00000000
